item_id,title,url,source,type,date,validity,credibility,relevance,actionability,novelty,overall,route,drive_path
20251013-1729-309330,v15.5.5,https://github.com/vercel/next.js/releases/tag/v15.5.5,vercel/next.js,release,2025-10-13T17:15:14Z,0.750,0.800,0.400,0.600,0.700,0.515,weekly,vault\ai-intel\items\2025-10\20251013-1729-309330
20251013-1729-330838,OpenAI x Broadcom — The OpenAI Podcast Ep. 8,https://www.youtube.com/watch?v=qqAbVTFnfk8,OpenAI,talk,2025-10-13T13:00:58Z,0.750,0.800,0.600,0.600,0.500,0.585,weekly,vault\ai-intel\items\2025-10\20251013-1729-330838
20251013-1729-351029,v16.0.0-canary.3,https://github.com/vercel/next.js/releases/tag/v16.0.0-canary.3,vercel/next.js,release,2025-10-12T23:46:44Z,0.750,0.800,0.400,0.600,0.700,0.515,weekly,vault\ai-intel\items\2025-10\20251013-1729-351029
20251014-0838-159829,v16.0.0-canary.4,https://github.com/vercel/next.js/releases/tag/v16.0.0-canary.4,vercel/next.js,release,2025-10-13T23:37:59Z,0.750,0.800,0.600,0.600,0.700,0.585,weekly,vault\ai-intel\items\2025-10\20251014-0838-159829
20251014-0847-008186,rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,rust-unofficial/awesome-rust,application,2025-10-14T08:46:25Z,0.600,0.500,0.400,0.600,0.500,0.515,weekly,vault\ai-intel\items\2025-10\20251014-0847-008186
20251014-0919-466476,fmerian/awesome-product-hunt,https://github.com/fmerian/awesome-product-hunt,fmerian/awesome-product-hunt,application,2025-10-14T09:18:34Z,0.600,0.500,0.400,0.600,0.500,0.515,weekly,vault\ai-intel\items\2025-10\20251014-0919-466476
20251014-0927-952384,marcelscruz/dev-resources,https://github.com/marcelscruz/dev-resources,marcelscruz/dev-resources,application,2025-10-14T09:27:24Z,0.600,0.500,0.400,0.600,0.500,0.515,weekly,vault\ai-intel\items\2025-10\20251014-0927-952384
20251014-0936-120850,alibaba/spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,alibaba/spring-ai-alibaba,application,2025-10-14T09:35:27Z,0.600,0.500,0.450,0.600,0.500,0.532,weekly,vault\ai-intel\items\2025-10\20251014-0936-120850
20251014-0936-193223,SuperClaude-Org/SuperClaude_Framework,https://github.com/SuperClaude-Org/SuperClaude_Framework,SuperClaude-Org/SuperClaude_Framework,application,2025-10-14T09:35:04Z,0.600,0.500,0.600,0.600,0.500,0.585,weekly,vault\ai-intel\items\2025-10\20251014-0936-193223
20251014-0937-925118,nishatrhythm/Bangladesh-Railway-Train-Seat-Availability-Web-Application,https://github.com/nishatrhythm/Bangladesh-Railway-Train-Seat-Availability-Web-Application,nishatrhythm/Bangladesh-Railway-Train-Seat-Availability-Web-Application,application,2025-10-14T09:37:18Z,0.600,0.500,0.600,0.600,0.500,0.585,weekly,vault\ai-intel\items\2025-10\20251014-0937-925118
